2026-04-11 11:56:41 | Round 1 | SENTINEL | exit=1
2026-04-11 11:59:54 | Round 2 | SELF-EXIT | exit=0
2026-04-11 12:29:12 | Round 3 | SENTINEL | exit=1
2026-04-11 12:45:57 | Round 4 | SELF-EXIT | exit=0
2026-04-11 13:16:10 | Round 5 | SELF-EXIT | exit=1
2026-04-11 13:37:10 | Round 6 | SENTINEL | exit=0
2026-04-11 14:04:28 | Round 7 | SENTINEL | exit=1
2026-04-11 14:19:05 | Round 8 | SENTINEL | exit=1
2026-04-11 14:49:19 | Round 9 | SELF-EXIT | exit=1
2026-04-11 15:10:56 | Round 10 | SENTINEL | exit=1
2026-04-11 15:17:10 | Round 11 | SELF-EXIT | exit=0
2026-04-11 15:33:02 | Round 12 | SENTINEL | exit=1
2026-04-11 15:43:28 | Round 13 | SENTINEL | exit=1
2026-04-11 15:52:42 | Round 14 | SELF-EXIT | exit=0
2026-04-11 16:22:56 | Round 15 | SELF-EXIT | exit=1
2026-04-11 16:38:23 | Round 16 | SENTINEL | exit=1
2026-04-11 17:08:36 | Round 17 | SELF-EXIT | exit=1
2026-04-11 17:25:28 | Round 18 | SENTINEL | exit=1
2026-04-11 17:29:52 | Round 19 | SELF-EXIT | exit=0
2026-04-11 18:00:05 | Round 20 | SELF-EXIT | exit=1
2026-04-11 18:15:52 | Round 21 | SENTINEL | exit=1
2026-04-11 18:22:05 | Round 22 | SELF-EXIT | exit=0
