行号,项目,零件6608491523数据,公式示例
3,零件号,6608491523.0,P: <openpyxl.worksheet.formula.ArrayFormula object at...
4,回路数（PCS）,2.0,F: =配置明细!P24 | G: =F4
5,目标销售数量（PCS）,315000.0,E: =SUM(F5:K5) | P: =P37
6,目标销售单价（元）,,F: =I39 | G: =H35
7,回路单价（元）,,F: =F6/F4 | G: =G6/G4
8,回路工时（秒）,,F: =(配置明细!L24+配置明细!M24+配置明细!N24)*3600/F4 | G: =F8
9,目标销售收入（元）,,E: =SUM(F9:M9) | F: =F6*F5
10,目标利润额（元）,,E: =E9-E14 | F: =(F6-F14)*F5
11,毛利（%）,,E: =(E9-E15-E16-E20-E23-E13-E31-E32)/E9 | F: =((F6-F15-F16-F20-F23)-(F13/F5)-F31-F32)/F6
12,毛利（元）,,E: =E11*E9 | F: =F11*F9
13,返点金额（QS）（元）,,E: =SUM(F13:J13)
14,单套项目总成本（元/PCS）,,E: =F14*$F$5+G14*$G$5+H14*$H$5+$I$5*I14+J14*$J$5+K14*... | F: =F16+F15+F20+F23+F31+F32
15,单套材料成本（元/PCS）,,E: =F15*$F$5+G15*$G$5+H15*$H$5+$I$5*I15+J15*$J$5+K15*... | F: =配置明细!G24
16,单套直接人工（元/PCS）,,E: =F16*$F$5+G16*$G$5+H16*$H$5+$I$5*I16+J16*$J$5+K16*... | F: =F17+F18+F19
20,单套设备成本（元/PCS）,4.67855655686408,E: =F20*$F$5+G20*$G$5+H20*$H$5+$I$5*I20+J20*$J$5+K20*... | F: =F21+F22
21,—共用设备（元/PCS),3.82265593574606,E: =F21*$F$5+G21*$G$5+H21*$H$5+$I$5*I21+J21*$J$5+K21*... | F: =设备投资明细!K30
22,—专用设备（元/PCS),0.855900621118013,E: =F22*$F$5+G22*$G$5+H22*$H$5+$I$5*I22+J22*$J$5+K22*... | F: =设备投资明细!J40+项目专用模具!L13+'项目工装投入 '!N27
23,制造费用(单套),,E: =F23*$F$5+G23*$G$5+H23*$H$5+$I$5*I23+J23*$J$5+K23*... | F: =F24+F25+F26+F27+F28+F29+F30
24,—间接人工,2.42146974538898,E: =F24*$F$5+G24*$G$5+H24*$H$5+$I$5*I24+J24*$J$5+K24*... | F: =(配置明细!$L$24+配置明细!$M$24+配置明细!$N$24)*运营工时费报价基准!E10
25,—低值易耗品,0.190830952166962,E: =F25*$F$5+G25*$G$5+H25*$H$5+$I$5*I25+J25*$J$5+K25*... | F: =(配置明细!$L$24+配置明细!$M$24+配置明细!$N$24)*运营工时费报价基准!E11
26,—机物料消耗,0.899573672397012,E: =F26*$F$5+G26*$G$5+H26*$H$5+$I$5*I26+J26*$J$5+K26*... | F: =(配置明细!$L$24+配置明细!$M$24+配置明细!$N$24)*运营工时费报价基准!E12
27,—厂房分摊,1.44501710707463,E: =F27*$F$5+G27*$G$5+H27*$H$5+$I$5*I27+J27*$J$5+K27*... | F: =(配置明细!$L$24+配置明细!$M$24+配置明细!$N$24)*运营工时费报价基准!E13
28,—自动化仓、仓库分摊,0.0906434896342142,E: =F28*$F$5+G28*$G$5+H28*$H$5+$I$5*I28+J28*$J$5+K28*... | F: =(配置明细!$L$24+配置明细!$M$24+配置明细!$N$24)*运营工时费报价基准!E14
29,—其他制费,0.625118648312321,E: =F29*$F$5+G29*$G$5+H29*$H$5+$I$5*I29+J29*$J$5+K29*... | F: =(配置明细!$L$24+配置明细!$M$24+配置明细!$N$24)*运营工时费报价基准!E15
30,-材料损耗,,E: =F30*$F$5+G30*$G$5+H30*$H$5+$I$5*I30+J30*$J$5+K30*... | F: =F15*0.5%
31,研发费用（元/PCS）,0.090909090909091,E: =F31*$F$5+G31*$G$5+H31*$H$5+$I$5*I31+J31*$J$5+K31*... | G: =F31
32,单套包装、物流费用（元/PCS）,4.47578333333333,E: =F32*$F$5+G32*$G$5+H32*$H$5+$I$5*I32+J32*$J$5+K32*... | F: =包装物流费用!L25
