线束零件号,零件名称,零件号,物料名称/零件名称,是否半成品,物料型号/SAP,回路,数量,单位,供应商,其他备注,总成号,责任人,非导线,铝重,铜重,非铜,导线,材料成本,铝重,铜重,导线成本,币种,价格类型,备注
6608491523,直流母线总成,HVPC2P1600FV550-NH-P010,连接器总成,N,/,,1,SET,安费诺,客户指定,HVPC2P1600FV550-NH-P010,胡继燕,29,0,0,0,0,29,0,0,0,CNY,询价,0
6608491523,直流母线总成,IPT2PFS050-S02P010,IPT连接器总成（带焊接端子）,N,/,,1,SET,安费诺,客户指定,IPT2PFS050-S02P010,胡继燕,28,0,0,0,0,28,0,0,0,CNY,询价,0
6608491523,直流母线总成,HS-125(2X)N20-30,不带胶-热缩管,N,A04030275,,2,PCS,深圳宏商/长春海达,★,,0,0.0879,0,0,0,0,0.1758,0,0,0,CNY,系统价,0
6608491523,直流母线总成,FHLALR2GCCAATB2G/50.0/橙,50mm²屏蔽镀锡铜包铝硅胶铝导线,N,/,,1.54,M,太平洋/鑫宏业,★,,郑锦清,0,155.48,14.65,8833.65,,,0.2394392,22.561,,CNY,批量价,0
6608491523,直流母线总成,SCS2165A016,16OR橙色编织套管,N,A04101476,,1,M,骏鼎达/明鑫,★,,0,1.271,0,0,0,0,1.271,0,0,0,CNY,系统价,0
6608491523,直流母线总成,LY5016019-OR2,橙色布基胶带,N,A04101159,,4,M,联益,★,,0,0.22,0,0,0,0,0.88,0,0,0,CNY,系统价,0
6608491523,直流母线总成,E281-HB-04,塑料支架,N,/,,1,PCS,博昊/天久/华凯,★,,王永东,3.6,0,0,0,0,3.6,0,0,0,CNY,分摊价,含100000分摊
6608491523,直流母线总成,E281-ZJ-06,金属支架,N,/,,1,PCS,恒伟林/贵龙/华凯,★,,王永东,2.5,0,0,0,0,2.5,0,0,0,CNY,分摊价,含100000分摊
6608491523,直流母线总成,E281-XJ-06,橡胶件,N,/,,2,PCS,恒伟林/远信/博昊/天乐,★,,狄斌,1.15,0,0,0,0,2.3,0,0,0,CNY,分摊价,含100000分摊
6608491523,直流母线总成,111-00563,扎带绳,N,A06010012,,6,PCS,上海众安/海尔曼太通,★,,0,0.057,0,0,0,0,0.342,0,0,0,CNY,系统价,0
6608491523,直流母线总成,X1-BQ-01 标签140x30mm,产品标签,N,70002326,,1,PCS,洪众,,,0,0.14,0,0,0,0,0.14,0,0,0,CNY,系统价,0
6608491524,直流母线总成,HVPC2P1600FV550-NH-P010,连接器总成,N,/,,1,SET,安费诺,客户指定,HVPC2P1600FV550-NH-P010,胡继燕,29,0,0,0,0,29,0,0,0,CNY,询价,0
6608491524,直流母线总成,IPT2PFS050-S02P010,IPT连接器总成（带焊接端子）,N,/,,1,SET,安费诺,客户指定,IPT2PFS050-S02P010,胡继燕,28,0,0,0,0,28,0,0,0,CNY,询价,0
6608491524,直流母线总成,HS-125(2X)N20-30,不带胶-热缩管,N,A04030275,,2,PCS,深圳宏商/长春海达,★,,0,0.0879,0,0,0,0,0.1758,0,0,0,CNY,系统价,0
6608491524,直流母线总成,FHLALR2GCCAATB2G/50.0/橙,50mm²屏蔽镀锡铜包铝硅胶铝导线,N,/,,1.37,M,太平洋/鑫宏业,★,,郑锦清,0,155.48,14.65,8833.65,12.8937693,17.664463941,0.2130076,20.0705,17.664463941,CNY,批量价,0
