★,"若有其他方案推荐,经评估可行后可更新至K列",,,,,,,,,,,,,
组件描述,物料名称（英文/中文）,用量,单位,供应商名称,SAP号,备注,责任人,单价,铝重,铜重,非铜,币别,价格类型,备注
HVPC2P1600FV550-NH-P010,连接器总成,4,SET,安费诺,/,客户指定,胡继燕,29,,,,CNY,询价,
IPT2PFS050-S02P010,IPT连接器总成（带焊接端子）,4,SET,安费诺,/,客户指定,胡继燕,28,,,,CNY,询价,
HS-125(2X)N20-30,不带胶-热缩管,8,PCS,深圳宏商/长春海达,A04030275,★,,0.0879,,,,CNY,系统价,
FHLALR2GCCAATB2G/50.0/橙,50mm²屏蔽镀锡铜包铝硅胶铝导线,7.21,M,太平洋/鑫宏业,/,鑫宏业,郑锦清,,155.48,14.65,8833.65,CNY,批量价,
SCS2165A016,16OR橙色编织套管,5.3,M,骏鼎达/明鑫,A04101476,★,,1.271,,,,CNY,系统价,
LY5016019-OR2,橙色布基胶带,34,M,联益,A04101159,★,,0.22,,,,CNY,系统价,
E281-HB-04,塑料支架,2,PCS,博昊/天久/华凯,/,亿格,王永东,3.6,,,,CNY,分摊价,含100000分摊
E281-ZJ-06,金属支架,3,PCS,恒伟林/贵龙/华凯,/,华凯,王永东,2.5,,,,CNY,分摊价,含100000分摊
E281-XJ-06,橡胶件,6,PCS,恒伟林/远信/博昊/天乐,/,博昊,狄斌,1.15,,,,CNY,分摊价,含100000分摊
111-00563,扎带绳,47,PCS,上海众安/海尔曼太通,A06010012,★,,0.057,,,,CNY,系统价,
X1-BQ-01 标签140x30mm,产品标签,11,PCS,洪众,70002326,,,0.14,,,,CNY,系统价,
E281-HB-03,塑料支架,1,PCS,博昊/天久/华凯,/,亿格,王永东,5.7,,,,CNY,分摊价,含100000分摊
E281-ZJ-07,金属支架,1,PCS,恒伟林/贵龙/华凯,/,华凯,王永东,2.43,,,,CNY,分摊价,含100000分摊
MS11-XJ-05,橡胶件,2,PCS,金坛博盟,A04032520,沿用,,0.81225,,,,CNY,系统价,
2521188-1,连接器总成,4,SET,TE,/,客户指定,洪巧明,13,,,,CNY,总成参考价,
113990002387,插头组件,3,PCS,永贵,/,客户指定,江苏林,25,,,,,总成参考价,
115490007801,孔端子组件,3,PCS,永贵,/,客户指定,江苏林,0,,,,,散件,
113029800652,针端子组件,3,PCS,永贵,/,客户指定,江苏林,0,,,,,散件,
114022500496,外屏蔽环,6,PCS,永贵,A03102046,客户指定,江苏林,0,,,,,散件,
