工作表,行号,A_值,A_公式,B_值,B_公式,C_值,C_公式,D_值,D_公式,E_值,E_公式,F_值,F_公式,G_值,G_公式,H_值,H_公式,I_值,I_公式,J_值,J_公式,K_值,K_公式,L_值,L_公式,M_值,M_公式,N_值,N_公式,O_值,O_公式,P_值,P_公式,Q_值,Q_公式,R_值,R_公式,S_值,S_公式,T_值,T_公式,U_值,U_公式,V_值,V_公式,W_值,W_公式,X_值,X_公式,Y_值,Y_公式,Z_值,Z_公式,AA_值,AA_公式,AB_值,AB_公式,AC_值,AC_公式,AD_值,AD_公式,AE_值,AE_公式
项目评估汇总（昆山90%）,1,吉利E281高压,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
项目评估汇总（昆山90%）,2,内    容,,,,,,,,产  品  周  期  汇  总,,,,,,,,,,,,,,,,,,备  注,,,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,,,,,,,,,,
项目评估汇总（昆山90%）,3,,,,,费率,,,,目标汇总值,,第一年2026年,,第二年2027年,,第三年2028年,,第四年2029年,,第五年2030年,,第六年2031年,,,,,,,,,,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49f32750>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49f32750>,6608491524,,6608442962,,6608544875,,6608442964,,6608519100,,6608442963,,6608516992,,6608442966,,6608442965,,6608507680,,,,,,,,,,,
项目评估汇总（昆山90%）,4,回路数（PCS）,,,,,,,,,,=配置明细!P24,=配置明细!P24,=F4,=F4,=G4,=G4,=H4,=H4,=I4,=I4,=J4,=J4,,,,,,,,,"=VLOOKUP(P3,配置明细!$B:$P,15,0)","=VLOOKUP(P3,配置明细!$B:$P,15,0)","=VLOOKUP(Q3,配置明细!$B:$P,15,0)","=VLOOKUP(Q3,配置明细!$B:$P,15,0)","=VLOOKUP(R3,配置明细!$B:$P,15,0)","=VLOOKUP(R3,配置明细!$B:$P,15,0)","=VLOOKUP(S3,配置明细!$B:$P,15,0)","=VLOOKUP(S3,配置明细!$B:$P,15,0)","=VLOOKUP(T3,配置明细!$B:$P,15,0)","=VLOOKUP(T3,配置明细!$B:$P,15,0)","=VLOOKUP(U3,配置明细!$B:$P,15,0)","=VLOOKUP(U3,配置明细!$B:$P,15,0)","=VLOOKUP(V3,配置明细!$B:$P,15,0)","=VLOOKUP(V3,配置明细!$B:$P,15,0)","=VLOOKUP(W3,配置明细!$B:$P,15,0)","=VLOOKUP(W3,配置明细!$B:$P,15,0)","=VLOOKUP(X3,配置明细!$B:$P,15,0)","=VLOOKUP(X3,配置明细!$B:$P,15,0)","=VLOOKUP(Y3,配置明细!$B:$P,15,0)","=VLOOKUP(Y3,配置明细!$B:$P,15,0)","=VLOOKUP(Z3,配置明细!$B:$P,15,0)","=VLOOKUP(Z3,配置明细!$B:$P,15,0)",,,,,,,,,,
项目评估汇总（昆山90%）,5,目标销售数量（PCS）,,,,,,,,=SUM(F5:K5),=SUM(F5:K5),85000,,135000,,125000,,114000,,94000,,47000,,,,,,,,,,=P37,=P37,=Q37,=Q37,=R37,=R37,=S37,=S37,=T37,=T37,=U37,=U37,=V37,=V37,=W37,=W37,=X37,=X37,=Y37,=Y37,=Z37,=Z37,,,,,,,,,,
项目评估汇总（昆山90%）,6,目标销售单价（元）,,,,,,,,,,=I39,=I39,=H35,=H35,=G6,=G6,=H6,=H6,=I6,=I6,=J6,=J6,,,,,平均售价,,,,"=VLOOKUP(P$3,#REF!,9,0)","=VLOOKUP(P$3,#REF!,9,0)","=VLOOKUP(Q$3,#REF!,9,0)","=VLOOKUP(Q$3,#REF!,9,0)","=VLOOKUP(R$3,#REF!,9,0)","=VLOOKUP(R$3,#REF!,9,0)","=VLOOKUP(S$3,#REF!,9,0)","=VLOOKUP(S$3,#REF!,9,0)","=VLOOKUP(T$3,#REF!,9,0)","=VLOOKUP(T$3,#REF!,9,0)","=VLOOKUP(U$3,#REF!,9,0)","=VLOOKUP(U$3,#REF!,9,0)","=VLOOKUP(V$3,#REF!,9,0)","=VLOOKUP(V$3,#REF!,9,0)","=VLOOKUP(W$3,#REF!,9,0)","=VLOOKUP(W$3,#REF!,9,0)","=VLOOKUP(X$3,#REF!,9,0)","=VLOOKUP(X$3,#REF!,9,0)","=VLOOKUP(Y$3,#REF!,9,0)","=VLOOKUP(Y$3,#REF!,9,0)","=VLOOKUP(Z$3,#REF!,9,0)","=VLOOKUP(Z$3,#REF!,9,0)",,,,,,,,,,
项目评估汇总（昆山90%）,7,回路单价 （元）,,,,,,,,,,=F6/F4,=F6/F4,=G6/G4,=G6/G4,=H6/H4,=H6/H4,=I6/I4,=I6/I4,=I7,=I7,=J7,=J7,,,,,=(E9-E13)/E5,=(E9-E13)/E5,,,=P6/P4,=P6/P4,=Q6/Q4,=Q6/Q4,=R6/R4,=R6/R4,=S6/S4,=S6/S4,=T6/T4,=T6/T4,=U6/U4,=U6/U4,=V6/V4,=V6/V4,=W6/W4,=W6/W4,=X6/X4,=X6/X4,=Y6/Y4,=Y6/Y4,=Z6/Z4,=Z6/Z4,,,,,,,,,,
项目评估汇总（昆山90%）,8,回路工时 （秒）,,,,,,,,,,=(配置明细!L24+配置明细!M24+配置明细!N24)*3600/F4,=(配置明细!L24+配置明细!M24+配置明细!N24)*3600/F4,=F8,=F8,=G8,=G8,=H8,=H8,=I8,=I8,=J8,=J8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
项目评估汇总（昆山90%）,9,目标销售收入（元）,,,,,,,,=SUM(F9:M9),=SUM(F9:M9),=F6*F5,=F6*F5,=G6*G5,=G6*G5,=H6*H5,=H6*H5,=I6*I5,=I6*I5,=J6*J5,=J6*J5,=K6*K5,=K6*K5,,,,,=E9/E5,=E9/E5,,,=P6*P5,=P6*P5,=Q6*Q5,=Q6*Q5,=R6*R5,=R6*R5,=S6*S5,=S6*S5,=T6*T5,=T6*T5,=U6*U5,=U6*U5,=V6*V5,=V6*V5,=W6*W5,=W6*W5,=X6*X5,=X6*X5,=Y6*Y5,=Y6*Y5,=Z6*Z5,=Z6*Z5,,,,,,,,,,
项目评估汇总（昆山90%）,10,目标利润额（元）,,,,,,,,=E9-E14,=E9-E14,=(F6-F14)*F5,=(F6-F14)*F5,=(G6-G14)*G5,=(G6-G14)*G5,=(H6-H14)*H5,=(H6-H14)*H5,=(I6-I14)*I5,=(I6-I14)*I5,=(J6-J14)*J5,=(J6-J14)*J5,=(K6-K14)*K5,=(K6-K14)*K5,,,,,,,,,=(P6-P14)*P5,=(P6-P14)*P5,=(Q6-Q14)*Q5,=(Q6-Q14)*Q5,=(R6-R14)*R5,=(R6-R14)*R5,=(S6-S14)*S5,=(S6-S14)*S5,=(T6-T14)*T5,=(T6-T14)*T5,=(U6-U14)*U5,=(U6-U14)*U5,=(V6-V14)*V5,=(V6-V14)*V5,=(W6-W14)*W5,=(W6-W14)*W5,=(X6-X14)*X5,=(X6-X14)*X5,=(Y6-Y14)*Y5,=(Y6-Y14)*Y5,=(Z6-Z14)*Z5,=(Z6-Z14)*Z5,,,,,,,,,,
