NO.,"Function
功能",总成参考价,"Part Number
零件号","Part Name
零件名称","Semi-Finished
是否半成品","Wire NO.
回路号",PIN,OPTION,"SPEC
规格","Quantity
数量","Unit
单位",Remark,其他备注
1,"2523328-1
组合式充电插座(带电子锁，防尘盖)
DC：120mm²非屏蔽硅胶铝导线
AC：6mm²非屏蔽铝导线
DC接地：6mm²非屏蔽黄绿铜导线
AC接地：5mm²非屏蔽黄绿铜导线",,2523328-1,组合式充电插座(带电子锁，防尘盖),N,/,,,,1,SET,TE,客户指定
2,"1-2355517-1
AC 5PIN低压信号连接器
适配0.5方单芯铜导线",,1-2355517-1,低压连接器总成（5PIN）,N,/,,,,1,SET,TE,客户指定
3,"1-2438787-1
DC 10PIN低压信号连接器
适配0.5mm²线",,1-2438787-1,低压连接器总成（10PIN）,N,/,,,,1,SET,TE,客户指定
4,"5-2385463-1
低压连接器总成
适配0.5mm²单芯铜导线",,5-2385463-1,护套塑壳,N,A02101947,,,,1,PCS,TE,客户指定
5,,,2377023-2,端子,N,A03033091,,,,18,PCS,TE,客户指定
6,,,2377665-4,防水栓,N,A03033097,,,,18,PCS,TE,客户指定
7,,,963143-1,盲栓（1/8/15/22）,N,A02031363,,,,4,PCS,TE,客户指定
8,,,BH4309802,箭头扎带卡花,N,A06100441,,,,1,PCS,博昊,客户指定
9,"HVSPC2P1900FV112
快充连接器（直流）
适配120mm²非屏蔽硅胶铝导线",,HVSPC2P1900FV112,ODP端连接器（直流）,N,/,,,,1,SET,安费诺,客户指定
10,"HVC2PG263UFSW106-NH
慢充端连接器（交流）
适配6mm²非屏蔽铝导线",,HVC2PG263UFSW106-NH,ODP端连接器（交流）,N,/,,,,1,SET,安费诺,客户指定
11,"HVSPC2P1900FS112
快充连接器（直流）
适配120mm²非屏蔽硅胶铝导线",,HVSPC2P1900FS112,ODP端连接器（直流）,N,/,,,,1,SET,安费诺,客户指定
12,"2521188-1
接ACCM端
适配4mm²屏蔽铜包铝交联铝导线",,2521188-1,连接器总成,N,/,,,,1,SET,TE,客户指定
13,"YGC1612-EV-P2PNA2-6
接电池端
适配4mm²屏蔽铜包铝交联铝导线",25,113990002387,插头组件,N,/,,,,1,PCS,永贵,客户指定
14,,,115490007801,孔端子组件,N,/,,,,1,PCS,永贵,客户指定
15,,,113029800652,针端子组件,N,/,,,,1,PCS,永贵,客户指定
16,,,114022500496,外屏蔽环,N,A03102046,,,,2,PCS,永贵,客户指定
17,,,114022500494,内屏蔽环,N,A03102047,,,,2,PCS,永贵,客户指定
18,,,114050501765,密封圈,N,A02102213,,,,2,PCS,永贵,客户指定
19,,,114069806819,尾盖,N,/,,,,2,PCS,永贵,客户指定
20,"YGC1176D-EV-S(2+2)PT/1
接PTC
适配4mm²屏蔽铜包铝交联铝导线",21,112030106654,插头组件,N,/,,,,1,PCS,永贵,客户指定
21,,,501021401627,插针组件,N,/,,,,2,PCS,永贵,客户指定
22,,,114022500492,屏蔽内套管,N,/,,,,2,PCS,永贵,客户指定
23,,,114022500495,屏蔽外套管,N,/,,,,2,PCS,永贵,客户指定
24,,,113990001502,尾盖组件,N,/,,,,1,PCS,永贵,客户指定
25,"F02-372011-110
二分四分线器
适配6*4mm²屏蔽铜包铝交联铝导线",,F02-372010-B04,左尾盖,N,/,,,,1,PCS,八达,客户指定
26,,,F02-372010-G01,密封圈,N,/,,,,1,PCS,八达,客户指定
27,,,F02-372010-03H,屏蔽环,N,/,,,,4,PCS,八达,客户指定
28,,,F02-372010-B02,上内壳体,N,/,,,,2,PCS,八达,客户指定
29,,,F02-372010-07H,上屏蔽罩,N,/,,,,2,PCS,八达,客户指定
30,,,F02-372010-B03,下内壳体,N,/,,,,2,PCS,八达,客户指定
31,,,F02-372010-08H,下屏蔽罩,N,/,,,,2,PCS,八达,客户指定
32,,,F02-372010-04H,屏蔽环,N,/,,,,2,PCS,八达,客户指定
33,,,F02-372010-09B,屏蔽内环,N,/,,,,2,PCS,八达,客户指定
34,,,FII-001-000082,护套,N,/,,,,1,PCS,八达,客户指定
35,,,F02-372010-G06,密封圈,N,/,,,,1,PCS,八达,客户指定
36,,,F02-372010-B12,尾盖,N,/,,,,1,PCS,八达,客户指定
37,"PEVC-040-P42A-004-W
接电驱
适配4mm²屏蔽铜包铝交联铝导线",,PEVC-040-P42A-004-W,连接器总成,N,/,,,,1,SET,菲尼克斯,客户指定
38,"HVPC2P1600FV550-NH-P010
接电池端
适配50mm²屏蔽铜包铝硅胶铝导线",,HVPC2P1600FV550-NH-P010,连接器总成,N,/,,,,1,SET,安费诺,客户指定
39,"IPT2PFS050-S02P010
接电驱
适配50mm²屏蔽铜包铝硅胶铝导线",,IPT2PFS050-S02P010,IPT连接器总成（带焊接端子）,N,/,,,,1,SET,安费诺,客户指定
40,"805-122-541
电子锁低压连接器总成
适配0.5mm²单芯铜导线",,805-122-541,护套,N,A02000642,,,,1,PCS,赫尔斯曼,客户指定
41,,,32140734123,端子,N,A03032316,,,,4,PCS,科世达,客户指定
42,,,10800507250,防水栓,N,A03011408,,,,4,PCS,赫尔斯曼,客户指定
