吉利E281高压,,,,,,,,,,,,,,,,,,,,,,
序号,零件号,零件号SAP号,零件名称,数量,单位,材料成本（元）,VAVE后材料成本,线束铜重（KG）,线束铝重（KG）,"导线成本
（元）",开线工时（H）,公共制成工时（H）,后工程工时（H）,JPH,回路数,前工程直接人力（双班）,前工程间接人力（双班）,后工程直接人力（双班）,后工程间接人力（双班）,项目前工程占用面积（㎡）,项目后工程占用面积（㎡）,占地面积/㎡
1,6608491523,,直流母线总成,0.525,PC,,,22.561,0.2394392,,,0.236596919607843,0.137432146078431,26,2,,,,,,,
2,6608491524,,直流母线总成,0.105,PC,87.782613941,,20.0705,0.2130076,17.664463941,,0.236596919607843,0.136765479411765,6,2,,,,,,,
3,6608442962,,直流母线总成,0.07,PC,97.51096167,,27.835,0.295412,24.49816167,,0.250208947385621,0.14279838496732,4,2,,,,,,,
4,6608544875,,前驱直流母线总成,0.105,PC,110.50729632,,35.16,0.373152,30.94504632,,0.254106038071895,0.147942401633987,6,2,,,,,,,
5,6608442964,,电动压缩机线束总成,0.595,PC,42.23497185,,7.185,0.02646,3.20797185,,0.140286274509804,0.106822625816993,29,2,,,,,,,
6,6608519100,,电动压缩机线束总成,0.105,PC,49.324522842,,9.4842,0.0349272,4.234522842,,0.144339052287582,0.110730531372549,6,2,,,,,,,
7,6608442963,,电动压缩机线束总成,0.03,PC,84.97742538,,10.538,0.038808,4.70502538,,0.367048529411765,0.157781895751634,26,6,,,,,,,
8,6608516992,,电动压缩机线束总成,0.225,PC,64.256076649,,11.0649,0.0407484,4.940276649,,0.367048529411765,0.157568006862745,4,6,,,,,,,
9,6608442966,,组合式充电插座线束总成,0.525,PC,314.222782203,,69.3613,0.9517398,54.537224203,,0.662618457679739,0.388884354411765,26,24,,,,,,,
10,6608442965,,组合式充电插座线束总成,0.105,PC,307.894149753,,69.3613,0.8370448,48.742341753,,0.662618457679739,0.387328798856209,6,24,,,,,,,
11,6608507680,,组合式充电插座线束总成,0.07,PC,328.920957983,,69.3613,1.1286978,63.477899983,,0.682147315522876,0.391284354411765,4,24,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,合计,,,,,,,76.221746,0.904236809,,0,0.85067506891585,0.49963823247549,49.315,21.34,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,铜价,,69.43,,,,,,,,,,,,,,
,,,,,,材料中铜成本,,5292.07582478,,,,,,,,,,,,,,
,,,,,,材料中铝成本,,16.46615229189,,,,,,,,,,,,,,
,,,,,,,,,,,第七页,,,,,,,,,,,
